image_idx,solver,precond,ordering,stop,n_unknown,iterations,elapsed_ms,avg_ms,mem_meas_kb,mem_theo_B,res0,res1,res2
1,cg,jacobi,nat,abs,180569,31,97.48,1.64839,38764,13246596,1.6062,2.3372,4.7395
2,cg,jacobi,nat,abs,197505,29,44.5202,0.458458,39444,14398244,4.73423,1.66776,1.79714
1,cg,jacobi,nat,abs,1096901,77,625.553,4.3397,166840,81080244,4.9264,0.890585,1.88972
2,cg,jacobi,nat,abs,1565770,157,1430.28,6.76979,180216,112963336,3.2489,3.23412,4.97989
1,cg,jacobi,nat,abs,647067,56,212.473,1.94455,125188,47225652,4.98963,1.68845,2.91838
2,cg,jacobi,nat,abs,591782,50,195.102,1.67027,135752,43466272,4.83824,3.15678,4.5993
3,cg,jacobi,nat,abs,573787,70,275.498,1.77808,136796,42242612,4.89727,1.81175,4.49157
4,cg,jacobi,nat,abs,671070,35,176.957,2.17776,130584,48857856,4.76751,4.99726,2.22916
