configuration,gmean_speedup,mean_speedup,gmean_iteration_reduction_%,mean_iteration_reduction_%,gmean_mem_saving_%,mean_mem_saving_%
cg+ic0+nat,0.46757728791967595,0.471013547744363,1.000000000000001e-12,-19.63748571829641,9.458534924320266e-06,0.03387527107387978
cg+ic0+rcm,0.49195647756039107,0.5089330891331248,2.887059370859746e-06,1.4675044361497214,3.823290418550453e-10,-3.534395346755183
cg+ilu0+nat,0.4630402099241794,0.4661332214241023,1.000000000000001e-12,-19.63748571829641,5.533045467414379e-09,-0.014193187073947981
cg+ilu0+rcm,0.48910230882971956,0.5057174074152325,2.887059370859746e-06,1.4675044361497214,2.090616272143814e-09,-3.538334435564772
cg+jacobi+nat,1.584050693700356,1.5915783994977546,39.52430311336321,39.622528665062205,4.4034854139997655e-05,0.07829466739882204
cg+jacobi+rcm,1.3414024217690892,1.3454883978985623,39.52430311336321,39.622528665062205,1.6947279107488145e-09,-3.6533878237605757
